FishEc,"Site",Year,SLF,Coupler,Fixed,Input,Output,Diagonal,Gape,Buccal_length,Neuro_Outlever,Jaw_Outlever,Jaw_Inlever,Jaw_prot,Spine_length_dorsal_1,Spine_length_dorsal_2,Spine_width_dorsal_2,Spine_length_pelvic,Pelvic_length,Pelvic_height,Epax_height_closed,Epax_height_open,EpaxWidth,Head_length,Plate_count,Raker_1_length,Raker_2_length,Spacing_1,Spacing_2,Raker_count
185191,"L26",2019,55,9.83630744592203,9.85887418823139,5.87275327788387,0.97598133962993,9.96666168452208,5.02806908280355,15.9392847831862,16.9812022837074,4.47861413971975,1.07558238314814,2.24339902421197,4.53325321238056,4.92514810748398,0.775516704368118,7.96827072440433,2.75100418384194,6.06863229996007,2.22440236653109,2.30173676136007,5.48732451987184,12.7270044102834,30,0.862728632815786,0.973249851579253,0.119709966420421,0.126421971411391,12
185194,"ERL006",2019,39,6.82809040215958,7.36076741778976,4.19556190825823,0.864859951652855,6.38780798269597,3.29249075967034,11.7218738643017,12.5493284516035,3.04276148390347,0.844995644563898,1.340647356675,2.87243648306124,3.06999107274178,0.564808989810638,5.35525339973913,1.28453421436338,4.31752484989072,1.37232655193076,1.48002272098924,4.2878681735155,9.38508136878646,25,0.568322879854697,0.578642046577886,0.137872679453346,0.12321206522801,13
185198,"ERL006",2019,39,6.95891759247966,7.60895710234988,4.10250531038415,0.752303025629917,6.57952207344545,3.34650553087177,11.8968560904838,12.8525129647951,3.13366456901106,0.778896930182438,1.45727930616205,2.56906842872676,2.83141108320334,0.655533485698926,4.44446138525993,0.986301369863014,4.04564406234061,1.15361661761245,1.39786449465986,4.00742883058935,9.75581969978109,22,0.854875518361894,0.959259840653121,0.127525090577453,0.142021475911095,11
185200,"ERL006",2019,32,5.4217855964831,5.74170365119663,2.95668359095268,0.620231858776535,5.17075657790184,2.56987177613367,9.66375977327284,10.3741327776155,2.56168046270789,0.638567781962009,1.44363025234934,2.44699869015168,2.82991949727255,0.521268427135355,4.08145621763187,1.1672808434396,4.09598203956702,1.43894312876808,1.79499104989586,3.46794559507548,7.5332502454551,21,0.911070591091021,0.899153336285753,0.0969576853744631,0.116185323698234,11
185201,"ERL006",2019,38,6.31007335810068,7.19705909180027,4.01020542497859,0.705480980555489,6.03056587173371,3.35753396712551,11.5081294134673,12.4646695298761,3.05331987258517,0.815615103923518,1.66859211979008,2.85526906896411,2.83889030780886,0.529128983995287,4.69015570295068,1.32883773290715,4.51602097946391,1.39944589792668,1.60648199097117,3.85087473886866,9.16438356164384,20,0.906421526113087,1.03509820711598,0.121142794154746,0.137663611969831,11
185202,"ERL006",2019,54,8.57780392700665,9.70494531645703,5.58111175365899,0.986491610267881,8.2240282493146,4.7831960192301,15.3890193907285,16.6419639288087,3.89881881348237,1.18696871355805,1.91393934611425,3.31959387713334,3.21964438476457,0.58327859879572,6.00306420785714,1.89085760060175,5.86878796440449,2.0079126641937,2.50699902240306,6.12587668596928,12.2608938390787,23,1.37052560276493,1.30771671447619,0.145715173028355,0.17989409671557,13
185204,"ERL006",2019,39,6.47098986935423,7.08330454149915,3.88454603261785,0.655962733907555,6.20718776570489,3.38824477637981,11.4762231049075,12.2760669690637,3.11233359058087,0.8131957303921,1.56746092732129,2.92115057135655,3.14776517481793,0.426641411024587,5.01469037275701,1.15141855283194,4.56215801948028,1.57629512588479,1.86547983430468,3.91840688978953,9.28262884902,20,1.12469145180785,1.0965232173459,0.103441452159295,0.117533084657731,11
185205,"ERL006",2019,37,5.77692525944215,6.18154384688962,3.25073428776413,0.702246883176783,5.50855286129064,3.21917808219178,10.7894432117193,11.7409327875157,2.95712782807163,0.663924428276857,1.461715087298,2.75373132620564,3.18103311276028,0.631475647759787,4.65825941171773,1.1109411683803,4.39802835437566,1.54818764012549,1.70133456827044,4.01463358132081,8.61522956871573,26,0.87214006120106,0.848252190101246,0.112032230576709,0.104819656524556,12
185208,"ERL006",2019,40,6.96859007463511,7.73690429648217,4.10616212005739,0.697469693495309,6.77381614206997,3.86135776138339,12.0001234047367,12.9800909785798,2.83110912199793,0.785117716802912,1.72021434607876,2.58861191706673,2.77047028072496,0.473266044378941,5.06789480720074,1.4975877992726,4.97955466325666,1.75188229690556,1.95360126834605,4.55855410931883,9.44468589848504,22,1.02345781881972,1.02035085404738,0.115280445118618,0.13289076609583,13
185209,"ERL006",2019,39,6.68947745722928,7.03903013244577,3.94530060768112,0.695938947719482,6.3258161892161,3.13806286486056,11.4133513912154,12.3822659644635,3.34574844414958,0.776967173286972,1.47214073670226,2.79173242594535,2.9768923030275,0.401021401871355,4.75374046560565,1.48002272098924,4.3860010335859,1.10992722733998,1.83561643835616,4.06870070039305,9.29348829833881,20,1.03923337604785,0.970867881678185,0.143083000041551,0.124297797829429,11
